"team","year","NCSOS"
"Duke",2025,9.46
"Houston",2025,2.62
"Florida",2025,-2.2
"Auburn",2025,10.51
"Tennessee",2025,-1.04
"Alabama",2025,12.62
"Michigan St.",2025,0.27
"Gonzaga",2025,8.99
"Texas Tech",2025,-4.68
"Maryland",2025,-10.46
"Iowa St.",2025,-1.14
"Wisconsin",2025,0.01
"Arizona",2025,5.19
"St. John's",2025,-0.2
"Purdue",2025,10.52
"Kentucky",2025,3.64
"Illinois",2025,3.6
"Texas A&M",2025,7.67
"Missouri",2025,-9.28
"UCLA",2025,-5.15
"Michigan",2025,3.95
"Mississippi",2025,-0.55
"Clemson",2025,3.67
"Kansas",2025,8.86
"Saint Mary's",2025,5.47
"BYU",2025,-8.05
"Oregon",2025,3.98
"Louisville",2025,7.18
"Marquette",2025,8.64
"Baylor",2025,7.93
"North Carolina",2025,13.4
"Connecticut",2025,-0.39
"Mississippi St.",2025,0.65
"VCU",2025,-4.12
"Creighton",2025,5.73
"Arkansas",2025,-2.61
"Ohio St.",2025,3.22
"Georgia",2025,-5.76
"UC San Diego",2025,-2.19
"Oklahoma",2025,-5.33
"New Mexico",2025,5.42
"Colorado St.",2025,1.39
"Xavier",2025,-1.1
"Northwestern",2025,-2.25
"Indiana",2025,1.5
"Nebraska",2025,-2.92
"Texas",2025,-8.1
"Vanderbilt",2025,-6.82
"Boise St.",2025,1.51
"SMU",2025,-3.77
"San Diego St.",2025,13.55
"Drake",2025,-2.74
"West Virginia",2025,0.98
"Memphis",2025,15.73
"Cincinnati",2025,-4.92
"Villanova",2025,-6.34
"USC",2025,-1.97
"Penn St.",2025,-10.64
"Santa Clara",2025,3.65
"McNeese",2025,8.79
"Utah St.",2025,0.68
"Iowa",2025,-8.36
"Pittsburgh",2025,3.76
"Liberty",2025,-2.87
"Kansas St.",2025,-1.18
"San Francisco",2025,-1.18
"UCF",2025,-1.17
"UC Irvine",2025,4.18
"South Carolina",2025,-2.11
"Rutgers",2025,-2.32
"North Texas",2025,1.9
"Wake Forest",2025,-1.92
"Arizona St.",2025,8.13
"Yale",2025,-0.85
"Butler",2025,3.06
"Utah",2025,-9.6
"Dayton",2025,4.92
"Nevada",2025,2
"George Mason",2025,-5.47
"Oregon St.",2025,-4.42
"Stanford",2025,-4.04
"High Point",2025,-5.75
"Minnesota",2025,-5.97
"Arkansas St.",2025,1.02
"Saint Joseph's",2025,-4.33
