RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
1,Houston,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,36.1,29.3,1,2ND
2,Duke,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,35.2,26.5,1,F4
3,Auburn,SEC,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,SEC,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,34.3,30.3,1,F4
4,Florida,SEC,34,30,127.7,94,0.9713,55,45.3,15,17,SEC,34,30,127.7,94,0.9713,55,45.3,15,17,38.1,28.8,1,Champions
5,Alabama,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,34.7,29.2,2,E8
6,Tennessee,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,35.4,30.1,2,E8
7,Texas Tech,B12,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,B12,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,34.3,28.5,3,E8
8,Iowa St.,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,32.2,28.4,3,R32
9,Arizona,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,35.9,28.5,4,S16
10,Maryland,B10,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,B10,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,31,27.2,4,E8
11,Gonzaga,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,32.7,26.4,8,R32
12,Wisconsin,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,28,26.6,3,R32
13,Michigan St.,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,35.3,24.6,2,E8
14,BYU,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,33.3,26.1,6,S16
15,St. John's,BE,34,30,112.6,89.1,0.9364,49.7,46.6,15.6,21.9,BE,34,30,112.6,89.1,0.9364,49.7,46.6,15.6,21.9,37.3,28.9,2,R32
16,Missouri,SEC,33,22,127,100,0.9344,56.2,50.7,15.2,20,SEC,33,22,127,100,0.9344,56.2,50.7,15.2,20,33.7,32.2,6,R64
17,Kentucky,SEC,33,22,123.9,98.7,0.9315,56,50.4,15.2,14,SEC,33,22,123.9,98.7,0.9315,56,50.4,15.2,14,28.7,25.9,3,S16
18,Purdue,B10,33,22,125,100,0.9289,56.3,52,15.6,17.8,B10,33,22,125,100,0.9289,56.3,52,15.6,17.8,31,29.9,4,S16
19,Louisville,ACC,34,27,118.3,94.7,0.9288,53.4,49.2,16.5,18.6,ACC,34,27,118.3,94.7,0.9288,53.4,49.2,16.5,18.6,32.2,27.2,8,R64
20,Kansas,B12,33,21,116.1,93,0.9274,53.1,46.2,16.7,15.6,B12,33,21,116.1,93,0.9274,53.1,46.2,16.7,15.6,30.4,27.5,7,R64
21,Clemson,ACC,33,27,118.3,94.8,0.9272,53.6,48.9,15.7,20.1,ACC,33,27,118.3,94.8,0.9272,53.6,48.9,15.7,20.1,33.7,29.9,5,R64
22,Texas A&M,SEC,32,22,115.7,93.1,0.9237,47.5,48.2,18.2,19.7,SEC,32,22,115.7,93.1,0.9237,47.5,48.2,18.2,19.7,42,27.8,4,R32
23,Illinois,B10,33,21,122.2,98.5,0.9228,52.3,47.3,15.8,12.7,B10,33,21,122.2,98.5,0.9228,52.3,47.3,15.8,12.7,36,26.3,6,R32
24,Saint Mary's,WCC,33,28,115,92.8,0.9217,50.9,46.2,15.1,16.6,WCC,33,28,115,92.8,0.9217,50.9,46.2,15.1,16.6,40.5,24.9,7,R32
25,UCLA,B10,32,22,117.9,95.3,0.9205,53,50.5,15.9,22.8,B10,32,22,117.9,95.3,0.9205,53,50.5,15.9,22.8,32.8,29.2,7,R32
26,Michigan,B10,34,25,115.1,94.4,0.9072,54.5,46.3,19.8,16,B10,34,25,115.1,94.4,0.9072,54.5,46.3,19.8,16,33.2,29.8,5,S16
27,Baylor,B12,33,19,120.5,99.3,0.9027,51.5,51.2,16.1,18.8,B12,33,19,120.5,99.3,0.9027,51.5,51.2,16.1,18.8,35.6,31.2,9,R32
28,Mississippi,SEC,33,22,117.4,96.9,0.9003,51.1,50.5,12.8,20.5,SEC,33,22,117.4,96.9,0.9003,51.1,50.5,12.8,20.5,25.4,30.8,6,S16
29,VCU,A10,34,28,116.2,96,0.9002,52.4,44.4,16.8,20.6,A10,34,28,116.2,96,0.9002,52.4,44.4,16.8,20.6,36.7,30,11,R64
